injection_rate,avg_latency
0.05,19.1294
0.1,19.4015
0.15,19.6222
0.2,19.8639
0.25,20.1163
0.3,20.374
0.35,20.6923
0.4,21.0534
0.45,21.4704
0.5,21.8686
0.55,22.3966
0.6,22.9688
0.65,23.6074
0.7,24.4416
0.75,25.405
0.8,26.6453
0.85,28.229
0.9,30.3978
0.95,33.9677
1.0,40.1986
1.05,58.0292
1.1,138.306
1.15,268.58
