injection_rate,avg_latency
0.05,17.4745
0.1,17.7228
0.15,17.9892
0.2,18.3004
0.25,18.6051
0.3,18.9395
0.35,19.3748
0.4,19.8632
0.45,20.5221
0.5,21.3498
0.55,22.5238
0.6,24.5874
0.65,29.0728
0.7,44.6581
0.75,155.816
