injection_rate,avg_latency
0.05,17.4741
0.1,17.7222
0.15,17.9925
0.2,18.2977
0.25,18.6155
0.3,18.9678
0.35,19.3995
0.4,19.8976
0.45,20.5313
0.5,21.3946
0.55,22.6508
0.6,24.678
0.65,28.9069
0.7,45.0
0.75,157.025
